Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 11/02/2025
Comparison Date: 
Total Yarding: 2910 (NQ)
Commentary
"There were approximately 2500 export and 410 young cattle penned representing a decrease of 36 head week-on-week. The usual buying group was present and operating in a dearer market. Quality was good with fewer dairy lots in the bullocks while the trade offering was very mixed. Well finished trade cattle lilted 10c to 15c/kg while secondary lots were cheaper. Grown steers sold firm while bullocks gained 5c/kg. Heavy Friesian manufacturing steers improved 15c to 23c with the crossbred portion firm to 8c/kg dearer. Heavy beef cows gained 5c to 10c while light conditioned dairy lots kicked 20c to 30c/kg. Heavy bulls lifted 5c/kg. 

Vealers sold from 250c to 408c/kg. Yearling trade steers made between 335c and 370c/kg. Yearling heifers to the trade sold between 310c and 355c/kg. Grown steers made from 335c to 380c/kg. Bullocks sold from 350c to 403c/kg. 

Heavy Friesian manufacturing steers made between 272c and 342c with the crossbred portion between 280 and 372c/kg. Most light and medium weight cows sold between 205c and 256c/kg. Heavy weight cows made mostly from 243c to 298c/kg. Heavy bulls sold from 270c to 316c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Bulls,0-450,Processor,C,1,9,-9,260.0,260.0,260,49.7,500.0,500.0,500.0,1105.0,1105.0,1105
Bulls,450-600,Dairy,D,1,25,22,248.0,278.0,262.4,12.1,516.7,534.6,525.3,1140.8,1556.8,1340.480078125
Bulls,450-600,Dairy,D,2,14,4,270.0,290.0,285.35714285714283,36.9,519.2,562.5,553.4,1529.0,1740.0,1692.5714285714287
Bulls,450-600,Processor,C,1,9,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,1620.0,1620.0,1620
Bulls,450-600,Processor,C,2,10,-22,275.0,296.0,286.1,3.1,500.0,536.4,522.1,1459.5,1776.0,1653.25
Bulls,450-600,Processor,C,3,3,NQ,290.0,310.0,301.6666666666667,NQ,508.8,544.6,532.4,1448.8,1860.0,1682.9166666666667
Bulls,450-600,Processor,D,2,2,NQ,230.0,270.0,250,NQ,434.0,500.0,467.0,1207.5,1485.0,1346.25
Bulls,600+,Dairy,C,2,1,NQ,290.0,290.0,290,NQ,517.9,517.9,517.9,2610.0,2610.0,2610
Bulls,600+,Dairy,D,2,6,-10,270.0,290.0,281.1666666666667,17.2,519.2,557.7,530.5,1755.0,2431.0,2137.4166666666665
Bulls,600+,Processor,C,2,32,24,280.0,310.0,290.46875,0.8,500.0,543.9,520.5,1852.5,2945.0,2087.6640625
Bulls,600+,Processor,C,3,20,15,290.0,316.0,303.55,9.4,500.0,553.6,526.6,1989.0,3002.0,2484.825
Bulls,600+,Processor,C,4,1,-2,260.0,260.0,260,-20.0,448.3,448.3,448.3,2470.0,2470.0,2470
