Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 04/12/2024
Comparison Date: 27/11/2024
Total Yarding: 3929 (+332)
Commentary
"There was further increase in numbers of 332 head, to 3929 head at CQLX Gracemere cattle sale. Cattle were again sourced from the usual draw areas with several lines on offer in most categories. One more processor operated, along with the return of one feed lot buyer. There were several different restockers also operating. There were quality related increases in most categories from last week, along with improvements in feeder steer and well finished processor cow lines above last sale rates.

Light weight yearling steers, in well bred pens, sold to 423c/kg, averaging 320c to 377c/kg for well-bred lines. Medium and heavy pens reached a top of 419c/kg, to average 357c to 389c/kg for the best-bred lots. Light weight yearling heifers averaged 252c to 281c/kg with sales reaching 320c/kg occasionally. Medium weight pens sold to 335c/kg with averages from 289c to 317c/kg attained.    

Feedlots paid to 420c/kg for their Grown steers, averaging 345c to 386c/kg for the best. A few bullocks sold to processors to average 310c to 327c/kg. The best of the trade heifers averaged 293c to 320c/kg. Feeders paid averages from 260c to 299c/kg for their grown heifers.

The best of the restocker cows made from 227c to 248c/kg, whilst, heavy, four score cows sold to 294c/kg, averaging 282c/kg. Heavy bulls averaged 281c/kg to Livex and 245c/kg to processors. Cows and calves held to sell from $1,160 to $1,500 per unit. 
Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Restocker,D,2,111,108,230.0,303.0,282.8738738738739,2.9,442.3,582.7,545.4,690.0,1283.4,1038.5891883094032
Grown Heifer,0-540,Restocker,E,1,1,NQ,195.0,195.0,195,NQ,390.0,390.0,390.0,497.3,497.3,497.25
Grown Heifer,540+,Processor,C,4,5,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1968.5,1968.5,1968.5
Cows,0-400,Processor,D,1,4,-14,150.0,229.0,209.25,56.1,357.1,558.5,508.2,487.5,801.5,723
Cows,0-400,Processor,D,2,49,44,221.0,250.0,237.20408163265307,28.8,491.1,559.5,543.1,799.0,955.5,883.3000002491231
Cows,0-400,Processor,D,3,3,NQ,246.0,260.0,250.66666666666666,NQ,534.8,541.7,537.1,984.0,1040.0,1002.6666666666666
Cows,0-400,Restocker,D,2,14,-4,157.0,255.0,210.78571428571428,13.0,356.8,554.3,466.5,580.9,981.8,799.039289202009
Cows,0-400,Restocker,E,1,22,21,130.0,150.0,142.72727272727272,22.7,309.5,357.1,339.8,390.0,495.0,456.8181818181818
Cows,400-520,Processor,D,2,74,7,189.0,263.0,247.44594594594594,3.3,410.9,580.0,533.1,793.8,1236.1,1073.7263579497467
Cows,400-520,Processor,D,3,95,40,237.0,279.0,259.5157894736842,-2.3,493.8,581.3,551.6,1019.1,1392.3,1170.681576377467
Cows,400-520,Processor,D,4,18,NC,277.0,278.0,277.27777777777777,9.8,532.7,556.0,551.0,1292.7,1440.4,1397.0639105902778
Cows,400-520,Restocker,D,2,51,24,227.0,259.0,247.54901960784315,10.6,515.2,563.0,545.1,930.7,1152.6,1051.5372721354167
Cows,400-520,Restocker,D,3,2,-10,259.0,259.0,259,-15.1,539.6,539.6,539.6,1243.2,1243.2,1243.199951171875
Cows,400-520,Restocker,E,2,7,NQ,227.0,227.0,227,NQ,515.9,515.9,515.9,1078.3,1078.3,1078.25
Cows,520+,Processor,D,2,1,NQ,276.0,276.0,276,NQ,541.2,541.2,541.2,1603.6,1603.6,1603.56005859375
Cows,520+,Processor,D,3,6,-5,269.0,269.0,269,8.5,517.3,517.3,517.3,1466.1,1466.1,1466.0501302083333
Cows,520+,Processor,D,4,68,-43,263.0,294.0,281.61764705882354,9.6,505.8,565.4,548.4,1420.2,1736.3,1549.4838149126838
Bulls,0-450,Feeder,C,2,12,11,200.0,260.0,229.83333333333334,-5.2,384.6,500.0,442.0,500.0,759.0,675.4249979654948
Bulls,0-450,Feeder,D,1,13,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,423.0,423.0,423
Bulls,0-450,Feeder,D,2,8,-6,181.0,240.0,225.25,-33.2,348.1,461.5,433.2,579.2,600.0,594.8000030517578
Bulls,0-450,Feeder,D,3,5,NQ,221.0,221.0,221,NQ,417.0,417.0,417.0,795.6,795.6,795.6
Bulls,0-450,Live Export,C,2,5,NQ,265.0,269.0,265.8,NQ,509.6,517.3,511.2,1073.3,1143.3,1087.25
Bulls,0-450,Live Export,D,2,1,NQ,265.0,265.0,265,NQ,509.6,509.6,509.6,1065.3,1065.3,1065.300048828125
Bulls,0-450,Processor,C,2,18,15,250.0,287.0,271.44444444444446,-0.2,480.8,551.9,522.0,587.5,731.8,701.8777669270834
Bulls,0-450,Processor,D,1,2,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,423.0,423.0,423
Bulls,0-450,Processor,D,2,5,4,150.0,240.0,217.8,-53.2,288.5,461.5,418.8,375.0,1015.8,615.55
Bulls,0-450,Processor,D,3,2,NQ,231.0,231.0,231,NQ,435.8,435.8,435.8,1027.9,1027.9,1027.949951171875
Bulls,0-450,Processor,E,2,6,NQ,217.0,217.0,217,NQ,417.3,417.3,417.3,585.9,585.9,585.9000244140625
Bulls,0-450,Restocker,C,2,14,-33,265.0,283.0,274.42857142857144,-6.8,509.6,544.2,527.7,636.0,728.8,718.0321568080357
Bulls,0-450,Restocker,C,3,3,NQ,235.0,235.0,235,NQ,443.4,443.4,443.4,810.8,810.8,810.75
