Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 25/03/2025
Comparison Date: 18/03/2025
Total Yarding: 2788 (-254)
Commentary
"There were approximately 2440 export and 350 young cattle penned representing a decrease of 250 head week-on-week. The usual buying group was present and operating in a dearer market. Quality declined with more secondary cattle and a large proportion of cows. Young cattle lifted up to 30c/kg with processors competing for finished lots and feedlots and graziers working to secure suitable lines. Grown steers to feed lifted 10c/kg while bullocks lifted 4c/kg. Manufacturing steers sold firm to 7c/kg dearer. Cows lifted 5c to 15c/kg. Heavy bulls held firm. 

Vealers sold from 300c to 388c/kg. Yearling trade steers made between 336c and 422c/kg. Yearling heifers to the trade sold between 330c and 388c/kg. Grown steers made from 350c to 404c/kg. Bullocks sold from 372c to 418c/kg. 

Heavy Friesian manufacturing steers made between 268c and 356c with the crossbred portion between 311c and 385c/kg. Most light and medium weight cows sold between 202c and 275c/kg. Heavy weight cows made mostly from 237c to 342c/kg. Heavy bulls sold from 302c to 344c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Bulls,450-600,Processor,B,2,5,NQ,334.0,355.0,343.8,NQ,575.9,612.1,596.9,1700.0,2041.3,1874.05
Bulls,450-600,Processor,C,1,2,-2,276.0,276.0,276,-0.3,520.8,520.8,520.8,1269.6,1269.6,1269.5999755859375
Bulls,450-600,Processor,C,2,26,20,280.0,354.0,316,4.0,517.9,621.1,573.2,1330.0,2035.5,1710.673076923077
Bulls,450-600,Processor,C,3,1,NQ,325.0,325.0,325,NQ,580.4,580.4,580.4,1787.5,1787.5,1787.5
Bulls,450-600,Processor,D,2,4,2,280.0,316.0,299.5,-1.0,538.5,585.2,564.7,1430.0,1659.0,1554.5
Bulls,600+,Dairy,D,2,5,2,290.0,320.0,310.4,12.1,547.2,666.7,591.7,2175.0,2826.0,2578.6
Bulls,600+,Processor,B,2,3,-5,332.0,342.0,337.3333333333333,-6.2,553.3,582.8,568.7,2535.0,3078.0,2811.6666666666665
Bulls,600+,Processor,C,1,2,NQ,314.0,319.0,316.5,NQ,581.5,590.7,586.1,2073.5,2512.0,2292.75
Bulls,600+,Processor,C,2,26,9,302.0,338.0,324.88461538461536,2.9,553.6,603.6,585.4,2114.0,2805.0,2369.903846153846
Bulls,600+,Processor,C,3,17,9,328.0,344.0,335.8235294117647,2.6,565.5,603.5,583.8,2308.5,3608.0,2886.4411764705883
Bulls,600+,Processor,C,4,1,NQ,322.0,322.0,322,NQ,575.0,575.0,575.0,2254.0,2254.0,2254
